date,births
"1969,1,1",8486
"1969,1,10",10042
"1969,1,11",9178
"1969,1,12",8450
"1969,1,13",9834
"1969,1,14",10366
"1969,1,15",9894
"1969,1,16",9662
"1969,1,17",9974
"1969,1,18",9312
"1969,1,19",8622
"1969,1,2",9002
"1969,1,20",9808
"1969,1,21",10474
"1969,1,22",9884
"1969,1,23",9454
"1969,1,24",9798
"1969,1,25",9022
"1969,1,26",8568
"1969,1,27",9910
"1969,1,28",10032
"1969,1,29",9380
"1969,1,3",9542
"1969,1,30",9674
"1969,1,4",8960
"1969,1,5",8390
"1969,1,6",9560
"1969,1,7",9738
"1969,1,8",9734
"1969,1,9",9434
"1969,10,1",10910
"1969,10,10",10748
"1969,10,11",9566
"1969,10,12",9014
"1969,10,13",9996
"1969,10,14",10618
"1969,10,15",10120
"1969,10,16",9918
"1969,10,17",10338
"1969,10,18",9172
"1969,10,19",8586
"1969,10,2",10656
"1969,10,20",10148
"1969,10,21",10674
"1969,10,22",10300
"1969,10,23",9814
"1969,10,24",10010
"1969,10,25",9258
"1969,10,26",8864
"1969,10,27",10372
"1969,10,28",10640
"1969,10,29",10104
"1969,10,3",10922
"1969,10,30",10110
"1969,10,4",9710
"1969,10,5",8972
"1969,10,6",10318
"1969,10,7",10654
"1969,10,8",10510
"1969,10,9",10710
"1969,11,1",9342
"1969,11,10",10342
"1969,11,11",10878
"1969,11,12",10324
"1969,11,13",10100
"1969,11,14",10396
"1969,11,15",9298
"1969,11,16",8660
"1969,11,17",10286
"1969,11,18",10698
"1969,11,19",10260
"1969,11,2",8904
"1969,11,20",10258
"1969,11,21",10168
"1969,11,22",9438
"1969,11,23",8866
"1969,11,24",10462
"1969,11,25",10864
"1969,11,26",10074
"1969,11,27",8248
"1969,11,28",9948
"1969,11,29",9332
"1969,11,3",10338
"1969,11,30",8966
"1969,11,4",10772
"1969,11,5",10020
"1969,11,6",10240
"1969,11,7",10660
"1969,11,8",9678
"1969,11,9",9022
"1969,12,1",10648
"1969,12,10",10348
"1969,12,11",10300
"1969,12,12",10758
"1969,12,13",9602
"1969,12,14",8762
"1969,12,15",10898
"1969,12,16",11022
"1969,12,17",10646
"1969,12,18",10426
"1969,12,19",10912
"1969,12,2",10736
"1969,12,20",9822
"1969,12,21",8864
"1969,12,22",10492
"1969,12,23",9856
"1969,12,24",8978
"1969,12,25",8284
"1969,12,26",9910
"1969,12,27",9304
