,date,births
0,"1969,1,1",8486
1,"1969,1,10",10042
2,"1969,1,11",9178
3,"1969,1,12",8450
4,"1969,1,13",9834
5,"1969,1,14",10366
6,"1969,1,15",9894
7,"1969,1,16",9662
8,"1969,1,17",9974
9,"1969,1,18",9312
10,"1969,1,19",8622
11,"1969,1,2",9002
12,"1969,1,20",9808
13,"1969,1,21",10474
14,"1969,1,22",9884
15,"1969,1,23",9454
16,"1969,1,24",9798
17,"1969,1,25",9022
18,"1969,1,26",8568
19,"1969,1,27",9910
20,"1969,1,28",10032
21,"1969,1,29",9380
22,"1969,1,3",9542
23,"1969,1,30",9674
24,"1969,1,4",8960
25,"1969,1,5",8390
26,"1969,1,6",9560
27,"1969,1,7",9738
28,"1969,1,8",9734
29,"1969,1,9",9434
30,"1969,10,1",10910
31,"1969,10,10",10748
32,"1969,10,11",9566
33,"1969,10,12",9014
34,"1969,10,13",9996
35,"1969,10,14",10618
36,"1969,10,15",10120
37,"1969,10,16",9918
38,"1969,10,17",10338
39,"1969,10,18",9172
40,"1969,10,19",8586
41,"1969,10,2",10656
42,"1969,10,20",10148
43,"1969,10,21",10674
44,"1969,10,22",10300
45,"1969,10,23",9814
46,"1969,10,24",10010
47,"1969,10,25",9258
48,"1969,10,26",8864
49,"1969,10,27",10372
50,"1969,10,28",10640
51,"1969,10,29",10104
52,"1969,10,3",10922
53,"1969,10,30",10110
54,"1969,10,4",9710
55,"1969,10,5",8972
56,"1969,10,6",10318
57,"1969,10,7",10654
58,"1969,10,8",10510
59,"1969,10,9",10710
60,"1969,11,1",9342
61,"1969,11,10",10342
62,"1969,11,11",10878
63,"1969,11,12",10324
64,"1969,11,13",10100
65,"1969,11,14",10396
66,"1969,11,15",9298
67,"1969,11,16",8660
68,"1969,11,17",10286
69,"1969,11,18",10698
70,"1969,11,19",10260
71,"1969,11,2",8904
72,"1969,11,20",10258
73,"1969,11,21",10168
74,"1969,11,22",9438
75,"1969,11,23",8866
76,"1969,11,24",10462
77,"1969,11,25",10864
78,"1969,11,26",10074
79,"1969,11,27",8248
80,"1969,11,28",9948
81,"1969,11,29",9332
82,"1969,11,3",10338
83,"1969,11,30",8966
84,"1969,11,4",10772
85,"1969,11,5",10020
86,"1969,11,6",10240
87,"1969,11,7",10660
88,"1969,11,8",9678
89,"1969,11,9",9022
90,"1969,12,1",10648
91,"1969,12,10",10348
92,"1969,12,11",10300
93,"1969,12,12",10758
94,"1969,12,13",9602
95,"1969,12,14",8762
96,"1969,12,15",10898
97,"1969,12,16",11022
98,"1969,12,17",10646
99,"1969,12,18",10426
100,"1969,12,19",10912
101,"1969,12,2",10736
102,"1969,12,20",9822
103,"1969,12,21",8864
104,"1969,12,22",10492
105,"1969,12,23",9856
106,"1969,12,24",8978
107,"1969,12,25",8284
108,"1969,12,26",9910
109,"1969,12,27",9304
110,"1969,12,28",9004
111,"1969,12,29",10980
112,"1969,12,3",10300
113,"1969,12,30",12232
114,"1969,12,4",10254
115,"1969,12,5",10428
116,"1969,12,6",9420
117,"1969,12,7",8740
118,"1969,12,8",10646
119,"1969,12,9",10730
120,"1969,2,1",9130
121,"1969,2,10",9954
122,"1969,2,11",9856
123,"1969,2,12",10008
124,"1969,2,13",9606
125,"1969,2,14",10354
126,"1969,2,15",9310
127,"1969,2,16",8534
128,"1969,2,17",9822
129,"1969,2,18",10176
130,"1969,2,19",9816
131,"1969,2,2",8814
132,"1969,2,20",9982
133,"1969,2,21",9916
134,"1969,2,22",9152
